age,job,marital,education,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
31,admin.,single,secondary,1340,false,false,cellular,15,may,185,1,-1,0,unknown,false
30,admin.,single,secondary,28,false,false,unknown,20,aug,107,1,-1,0,unknown,false
68,retired,single,unknown,518,false,false,cellular,17,mar,74,1,-1,0,unknown,false
28,student,single,secondary,4793,false,false,unknown,27,may,151,1,-1,0,unknown,false
26,student,single,secondary,119,false,false,cellular,3,feb,247,3,-1,0,unknown,false
36,student,single,unknown,449,false,false,cellular,4,feb,166,2,-1,0,unknown,false
30,student,single,tertiary,0,false,false,cellular,6,feb,10,5,-1,0,unknown,false
30,student,single,secondary,7387,false,false,cellular,16,mar,93,1,-1,0,unknown,false
28,student,single,tertiary,170,false,false,telephone,14,may,16,5,-1,0,unknown,false
29,student,single,secondary,1124,false,false,unknown,24,aug,26,1,-1,0,unknown,false
21,student,single,secondary,57,false,false,unknown,4,oct,9,1,-1,0,unknown,false
29,unknown,single,secondary,1502,false,false,cellular,28,jan,59,1,-1,0,unknown,false
50,unknown,single,secondary,86,false,false,telephone,6,feb,279,8,-1,0,unknown,false
25,services,single,secondary,79,false,true,cellular,21,jul,24,28,-1,0,unknown,false
26,services,single,tertiary,2803,false,false,cellular,3,feb,11,7,-1,0,unknown,false
32,services,single,secondary,2881,false,false,cellular,2,jul,356,1,-1,0,unknown,true
59,housemaid,single,secondary,26172,false,false,cellular,18,nov,54,2,-1,0,unknown,false
37,housemaid,single,primary,0,false,false,cellular,28,jan,399,1,-1,0,unknown,false
37,management,single,tertiary,240,false,false,unknown,5,jun,1123,1,-1,0,unknown,true
46,management,single,tertiary,3,false,false,cellular,8,jul,85,1,-1,0,unknown,false
25,management,single,unknown,314,false,true,cellular,8,jul,455,1,-1,0,unknown,false
26,management,single,tertiary,33,false,true,cellular,8,jul,253,1,-1,0,unknown,false
43,management,single,tertiary,483,false,false,cellular,19,aug,950,6,-1,0,unknown,true
33,management,single,tertiary,0,false,false,cellular,20,aug,291,1,-1,0,unknown,false
36,management,single,tertiary,1520,false,false,cellular,22,aug,101,2,-1,0,unknown,false
32,management,single,tertiary,0,false,false,cellular,22,aug,148,2,-1,0,unknown,false
32,management,single,tertiary,5167,false,false,cellular,26,aug,10,18,-1,0,unknown,false
30,management,single,tertiary,4,false,false,cellular,27,aug,51,3,-1,0,unknown,false
30,management,single,tertiary,4896,false,false,cellular,19,nov,132,1,-1,0,unknown,false
32,management,single,tertiary,1613,false,false,cellular,21,nov,24,5,-1,0,unknown,false
30,management,single,tertiary,119,false,false,cellular,28,jan,430,1,-1,0,unknown,false
32,management,single,tertiary,223,false,false,cellular,29,jan,365,1,-1,0,unknown,false
27,management,single,tertiary,1277,false,false,cellular,30,jan,267,4,-1,0,unknown,false
36,management,single,unknown,601,false,false,cellular,2,feb,237,2,-1,0,unknown,false
27,management,single,tertiary,2648,false,false,cellular,5,feb,917,1,-1,0,unknown,true
51,management,single,tertiary,2242,false,false,telephone,9,feb,11,8,-1,0,unknown,false
61,management,single,tertiary,2,false,false,cellular,20,apr,122,3,-1,0,unknown,false
29,management,single,tertiary,265,false,false,cellular,22,may,491,1,-1,0,unknown,true
25,management,single,tertiary,222,false,false,cellular,27,may,114,1,-1,0,unknown,false
34,management,single,tertiary,2279,false,false,cellular,13,aug,284,1,-1,0,unknown,false
25,management,single,tertiary,528,false,false,cellular,14,aug,201,1,-1,0,unknown,true
33,management,single,tertiary,794,false,false,unknown,25,jun,12,1,-1,0,unknown,false
26,technician,single,secondary,2087,false,false,unknown,8,may,151,1,-1,0,unknown,false
45,technician,single,secondary,31,false,false,unknown,29,may,177,1,-1,0,unknown,false
54,technician,single,unknown,1695,false,false,unknown,16,jun,168,1,-1,0,unknown,false
25,technician,single,secondary,959,false,false,cellular,9,jul,144,5,-1,0,unknown,false
28,technician,single,secondary,-97,false,false,cellular,28,jul,96,4,-1,0,unknown,false
31,technician,single,secondary,40,false,false,cellular,7,aug,123,2,-1,0,unknown,false
30,technician,single,secondary,0,false,false,cellular,7,aug,82,3,-1,0,unknown,false
35,technician,single,tertiary,2277,false,true,cellular,11,aug,55,2,-1,0,unknown,false
34,technician,single,tertiary,6529,false,false,cellular,14,aug,505,2,-1,0,unknown,true
31,technician,single,secondary,31868,false,false,telephone,14,aug,34,6,-1,0,unknown,false
33,technician,single,secondary,161,false,false,cellular,25,aug,66,9,-1,0,unknown,false
32,technician,single,secondary,1107,false,false,cellular,27,aug,113,8,-1,0,unknown,false
36,technician,single,secondary,34,false,true,cellular,28,aug,247,1,-1,0,unknown,false
32,technician,single,tertiary,550,false,false,cellular,19,nov,337,1,-1,0,unknown,true
37,technician,single,tertiary,3943,false,false,cellular,19,nov,37,1,-1,0,unknown,false
29,technician,single,secondary,3466,false,false,cellular,21,apr,274,1,-1,0,unknown,true
36,technician,single,secondary,376,false,false,cellular,13,aug,479,1,-1,0,unknown,true
32,technician,single,secondary,1089,false,false,cellular,6,sep,125,2,-1,0,unknown,false
34,technician,single,secondary,3311,false,false,cellular,1,oct,197,2,-1,0,unknown,false
53,unemployed,single,secondary,4,false,false,cellular,30,jul,259,3,-1,0,unknown,false
34,unemployed,single,secondary,0,false,false,cellular,17,nov,63,2,-1,0,unknown,false
31,unemployed,single,secondary,0,false,false,cellular,20,nov,324,5,-1,0,unknown,false
46,unemployed,single,tertiary,705,false,false,cellular,4,feb,398,1,-1,0,unknown,false
30,unemployed,single,tertiary,1159,false,false,telephone,5,jun,366,1,-1,0,unknown,true
33,unemployed,single,primary,396,false,false,cellular,22,feb,382,3,-1,0,unknown,false
28,blue-collar,single,secondary,48,false,false,unknown,26,may,144,3,-1,0,unknown,false
38,blue-collar,single,secondary,68,false,false,unknown,5,jun,90,2,-1,0,unknown,false
39,blue-collar,single,primary,0,false,false,unknown,18,jun,375,2,-1,0,unknown,false
28,blue-collar,single,secondary,476,false,false,cellular,8,jul,306,1,-1,0,unknown,false
39,blue-collar,single,secondary,0,false,false,cellular,22,jul,864,4,-1,0,unknown,true
32,blue-collar,single,secondary,0,false,false,cellular,23,jul,271,6,-1,0,unknown,false
34,blue-collar,single,secondary,1759,false,true,cellular,25,jul,695,1,-1,0,unknown,true
43,blue-collar,single,primary,-399,false,true,cellular,28,jul,662,3,-1,0,unknown,true
26,blue-collar,single,secondary,114,false,true,cellular,29,jul,361,4,-1,0,unknown,false
41,blue-collar,single,secondary,3851,false,false,cellular,19,nov,130,1,-1,0,unknown,false
45,blue-collar,single,unknown,816,false,false,cellular,20,nov,279,3,-1,0,unknown,false
30,blue-collar,single,primary,5641,false,false,cellular,21,nov,695,3,-1,0,unknown,false
27,blue-collar,single,primary,140,false,false,telephone,28,jan,183,2,-1,0,unknown,false
51,entrepreneur,single,tertiary,0,false,false,cellular,30,jan,643,1,-1,0,unknown,false
43,self-employed,single,tertiary,2169,false,false,cellular,5,aug,229,2,-1,0,unknown,false
28,self-employed,single,tertiary,4579,false,false,cellular,12,jan,409,2,-1,0,unknown,true
30,retired,single,secondary,48,false,false,cellular,18,may,142,2,300,1,other,false
20,student,single,primary,134,false,false,cellular,12,jul,273,1,277,3,other,false
39,management,single,tertiary,2651,false,false,cellular,6,apr,139,2,136,5,other,false
36,blue-collar,single,tertiary,1830,false,false,cellular,15,jul,185,5,181,6,failure,false
28,services,single,secondary,339,false,false,cellular,3,dec,350,1,182,1,success,true
32,management,single,tertiary,2360,false,false,cellular,4,may,11,4,90,7,success,false
36,management,single,tertiary,2646,false,false,cellular,13,oct,169,1,182,10,success,true
39,technician,single,secondary,1104,false,false,cellular,20,nov,333,2,105,2,success,false
26,technician,single,tertiary,3411,false,false,cellular,18,feb,236,1,183,2,success,false
31,self-employed,single,tertiary,3343,false,false,cellular,3,sep,365,1,94,1,success,true
41,self-employed,single,tertiary,10346,false,false,cellular,14,dec,352,1,182,3,success,false
41,admin.,single,secondary,-256,false,true,unknown,9,may,35,3,-1,0,unknown,false
38,admin.,single,secondary,3823,false,false,unknown,6,jun,81,5,-1,0,unknown,false
48,admin.,single,secondary,-58,false,false,unknown,17,jun,123,1,-1,0,unknown,false
27,admin.,single,secondary,-400,false,true,cellular,8,jul,290,1,-1,0,unknown,false
32,admin.,single,secondary,-17,false,false,unknown,9,jul,85,5,-1,0,unknown,false
33,admin.,single,tertiary,3379,false,false,cellular,20,nov,290,3,-1,0,unknown,false
29,admin.,single,tertiary,8,false,false,cellular,28,jan,468,1,-1,0,unknown,false
35,admin.,single,secondary,1721,false,false,telephone,30,jan,103,3,-1,0,unknown,false
30,admin.,single,tertiary,267,false,false,cellular,2,feb,124,1,-1,0,unknown,false
57,admin.,single,secondary,2223,false,false,cellular,12,aug,1064,1,-1,0,unknown,true
55,retired,single,primary,700,false,true,unknown,27,jun,141,1,-1,0,unknown,false
25,student,single,tertiary,326,false,false,cellular,26,may,390,1,-1,0,unknown,true
25,student,single,secondary,304,false,false,cellular,26,may,226,2,-1,0,unknown,true
21,student,single,secondary,491,false,false,cellular,6,aug,161,1,-1,0,unknown,false
21,student,single,secondary,1746,false,false,cellular,21,aug,487,2,-1,0,unknown,false
25,student,single,secondary,331,false,false,telephone,26,aug,170,4,-1,0,unknown,true
24,student,single,secondary,154,false,false,cellular,4,sep,205,2,-1,0,unknown,false
26,unknown,single,secondary,3247,false,false,telephone,6,feb,341,3,-1,0,unknown,false
37,unknown,single,tertiary,0,false,false,cellular,3,mar,426,1,-1,0,unknown,true
48,services,single,secondary,220,false,false,unknown,5,jun,1005,2,-1,0,unknown,false
40,services,single,secondary,316,false,false,unknown,11,jun,122,5,-1,0,unknown,false
33,services,single,secondary,-56,false,true,cellular,10,jul,119,5,-1,0,unknown,false
28,services,single,secondary,0,false,true,cellular,16,jul,133,1,-1,0,unknown,false
25,services,single,secondary,99,false,true,cellular,23,jul,207,2,-1,0,unknown,false
28,services,single,secondary,651,false,true,cellular,23,jul,158,2,-1,0,unknown,false
31,services,single,secondary,13,false,true,cellular,6,feb,1019,2,-1,0,unknown,true
27,services,single,secondary,3977,false,false,cellular,6,feb,108,2,-1,0,unknown,false
27,services,single,secondary,955,false,false,cellular,23,apr,206,1,-1,0,unknown,true
27,services,single,secondary,0,false,false,cellular,1,jun,181,1,-1,0,unknown,false
31,services,single,secondary,365,false,false,cellular,9,jun,337,3,-1,0,unknown,false
37,housemaid,single,secondary,1358,false,false,telephone,28,jan,119,1,-1,0,unknown,false
43,management,single,tertiary,5658,false,false,unknown,12,jun,462,3,-1,0,unknown,false
27,management,single,secondary,35,false,false,cellular,4,jul,255,1,-1,0,unknown,false
36,management,single,tertiary,900,false,false,cellular,6,aug,499,4,-1,0,unknown,false
37,management,single,tertiary,340,false,false,cellular,11,aug,90,4,-1,0,unknown,false
34,management,single,tertiary,416,false,false,cellular,14,aug,1217,4,-1,0,unknown,false
30,management,single,secondary,135,false,false,cellular,14,aug,112,2,-1,0,unknown,false
33,management,single,tertiary,23,false,false,cellular,20,aug,216,3,-1,0,unknown,false
31,management,single,tertiary,1536,false,false,cellular,22,aug,234,2,-1,0,unknown,false
35,management,single,tertiary,0,false,false,cellular,25,aug,81,6,-1,0,unknown,false
32,management,single,tertiary,631,false,false,cellular,26,aug,145,5,-1,0,unknown,false
30,management,single,tertiary,168,false,false,cellular,27,aug,35,13,-1,0,unknown,false
33,management,single,tertiary,627,false,false,cellular,27,aug,61,5,-1,0,unknown,false
30,management,single,tertiary,0,false,false,cellular,28,aug,62,7,-1,0,unknown,false
37,management,single,tertiary,2875,false,false,cellular,20,nov,110,2,-1,0,unknown,false
44,management,single,tertiary,3812,false,false,cellular,20,nov,172,2,-1,0,unknown,false
32,management,single,secondary,3829,false,true,cellular,20,nov,267,1,-1,0,unknown,false
46,management,single,tertiary,653,false,true,cellular,21,nov,104,1,-1,0,unknown,false
31,management,single,tertiary,2137,false,false,cellular,6,feb,132,1,-1,0,unknown,false
30,management,single,tertiary,82,false,false,cellular,9,feb,48,3,-1,0,unknown,false
31,management,single,tertiary,153,false,false,cellular,9,feb,65,3,-1,0,unknown,false
30,management,single,tertiary,424,false,false,cellular,16,apr,298,4,-1,0,unknown,true
32,management,single,tertiary,566,false,false,cellular,30,apr,114,2,-1,0,unknown,false
29,management,single,tertiary,2753,false,false,cellular,30,apr,645,1,-1,0,unknown,true
30,management,single,tertiary,3779,false,false,cellular,13,apr,1093,1,-1,0,unknown,true
45,technician,single,tertiary,2099,false,true,unknown,1,jul,333,1,-1,0,unknown,false
32,technician,single,tertiary,1068,false,false,cellular,6,aug,175,4,-1,0,unknown,false
35,technician,single,tertiary,632,false,false,cellular,7,aug,141,1,-1,0,unknown,false
33,technician,single,secondary,671,false,false,cellular,8,aug,45,2,-1,0,unknown,false
33,technician,single,secondary,31,false,true,cellular,25,aug,131,3,-1,0,unknown,false
31,technician,single,secondary,0,false,false,cellular,29,aug,157,2,-1,0,unknown,false
31,technician,single,tertiary,849,false,false,cellular,19,nov,94,1,-1,0,unknown,false
27,technician,single,secondary,1187,false,false,cellular,28,jan,120,2,-1,0,unknown,false
31,technician,single,tertiary,1625,false,false,cellular,2,feb,158,1,-1,0,unknown,false
30,technician,single,secondary,57,false,false,cellular,2,feb,465,2,-1,0,unknown,false
24,technician,single,secondary,1298,false,false,cellular,1,sep,86,1,-1,0,unknown,false
21,technician,single,secondary,519,false,false,unknown,4,oct,5,1,-1,0,unknown,false
36,unemployed,single,primary,1729,false,false,cellular,21,nov,341,1,-1,0,unknown,false
35,unemployed,single,primary,483,false,false,cellular,3,feb,115,1,-1,0,unknown,false
26,unemployed,single,tertiary,2170,false,false,cellular,3,feb,317,1,-1,0,unknown,false
29,unemployed,single,primary,34,false,false,cellular,5,feb,227,1,-1,0,unknown,false
46,unemployed,single,tertiary,44,false,false,cellular,14,aug,225,1,-1,0,unknown,true
40,unemployed,single,tertiary,72,false,false,cellular,30,apr,463,1,-1,0,unknown,true
31,blue-collar,single,secondary,2137,false,false,unknown,29,may,413,1,-1,0,unknown,false
36,blue-collar,single,secondary,2596,false,false,unknown,18,jun,60,6,-1,0,unknown,false
38,blue-collar,single,primary,116,false,true,unknown,30,jun,203,1,-1,0,unknown,false
27,blue-collar,single,primary,0,false,true,cellular,9,jul,240,2,-1,0,unknown,false
27,blue-collar,single,secondary,87,false,false,telephone,10,jul,245,1,-1,0,unknown,false
37,blue-collar,single,primary,147,false,false,cellular,28,jul,192,19,-1,0,unknown,false
34,blue-collar,single,secondary,79,false,true,cellular,20,nov,104,1,-1,0,unknown,false
34,blue-collar,single,primary,81,false,true,cellular,9,feb,44,2,-1,0,unknown,false
44,blue-collar,single,secondary,0,false,false,cellular,20,apr,133,1,-1,0,unknown,true
32,blue-collar,single,secondary,228,false,false,telephone,23,apr,67,3,-1,0,unknown,false
38,blue-collar,single,secondary,1137,false,false,cellular,13,may,316,1,-1,0,unknown,false
30,blue-collar,single,secondary,799,false,false,unknown,13,jun,674,1,-1,0,unknown,true
35,entrepreneur,single,tertiary,-880,false,true,cellular,24,jul,77,3,-1,0,unknown,false
37,entrepreneur,single,tertiary,-961,false,false,cellular,13,apr,294,1,-1,0,unknown,false
36,self-employed,single,secondary,1295,false,false,cellular,20,nov,1192,1,-1,0,unknown,true
25,self-employed,single,tertiary,557,false,false,telephone,5,aug,813,2,-1,0,unknown,false
22,self-employed,single,tertiary,780,false,false,cellular,17,mar,272,3,-1,0,unknown,true
55,management,single,tertiary,-350,false,false,telephone,3,feb,87,4,6,1,other,false
34,management,single,tertiary,2607,false,false,cellular,7,may,63,1,336,12,other,false
39,technician,single,secondary,1435,false,false,cellular,17,jun,383,1,296,19,other,true
32,admin.,single,secondary,620,false,false,cellular,17,apr,211,2,343,3,failure,false
31,admin.,single,secondary,8626,false,false,cellular,25,may,159,1,111,1,failure,false
30,admin.,single,tertiary,261,false,false,cellular,19,oct,233,1,137,20,failure,false
40,retired,single,primary,-79,false,false,cellular,14,may,396,1,370,1,failure,false
24,student,single,secondary,382,false,false,cellular,13,nov,256,2,92,3,failure,true
30,student,single,unknown,145,false,false,cellular,5,feb,96,3,175,1,failure,false
33,services,single,secondary,3269,false,true,cellular,21,nov,381,1,126,1,failure,false
61,management,single,tertiary,2,false,false,cellular,12,aug,131,1,114,3,failure,true
40,management,single,tertiary,1509,false,false,cellular,12,may,333,1,58,3,failure,false
56,technician,single,tertiary,-528,false,false,cellular,28,jan,290,2,184,2,failure,false
30,technician,single,tertiary,2325,false,false,cellular,10,aug,263,1,127,7,failure,true
29,unemployed,single,secondary,1055,false,false,cellular,23,sep,427,1,603,1,failure,true
33,blue-collar,single,secondary,15341,false,false,cellular,20,apr,335,1,334,3,failure,false
32,blue-collar,single,secondary,228,false,false,telephone,5,feb,176,1,288,3,failure,false
33,blue-collar,single,secondary,228,false,false,telephone,5,may,110,1,89,4,failure,false
36,self-employed,single,tertiary,351,false,false,cellular,30,apr,78,1,84,1,failure,false
25,admin.,single,secondary,483,false,true,cellular,30,apr,68,1,86,1,success,false
23,student,single,secondary,431,false,false,cellular,15,feb,201,3,186,2,success,true
38,student,single,unknown,444,false,false,cellular,8,mar,157,3,206,6,success,false
31,management,single,tertiary,354,false,false,cellular,30,apr,502,1,9,2,success,true
33,management,single,tertiary,1781,false,false,cellular,8,oct,611,2,183,1,success,true
33,management,single,tertiary,935,false,false,cellular,9,feb,385,2,92,8,success,true
27,management,single,tertiary,6791,false,false,telephone,22,mar,174,2,229,28,success,false
30,technician,single,tertiary,655,false,false,cellular,26,apr,212,1,202,2,success,true
33,blue-collar,single,tertiary,700,false,false,cellular,9,feb,126,1,88,1,success,true
27,blue-collar,single,tertiary,644,false,false,cellular,2,jun,657,1,182,1,success,true
34,admin.,single,secondary,10,false,true,unknown,29,may,310,3,-1,0,unknown,false
36,admin.,single,tertiary,3819,false,false,unknown,9,jun,398,2,-1,0,unknown,false
60,admin.,single,secondary,3916,false,false,unknown,18,jun,18,5,-1,0,unknown,false
43,admin.,single,secondary,13,false,true,unknown,1,jul,119,1,-1,0,unknown,false
31,admin.,single,secondary,1,false,false,cellular,9,jul,236,1,-1,0,unknown,false
36,admin.,single,secondary,115,false,false,cellular,2,feb,225,1,-1,0,unknown,false
24,admin.,single,secondary,493,false,false,cellular,23,mar,47,2,-1,0,unknown,false
53,admin.,single,secondary,1958,false,false,telephone,23,apr,164,4,-1,0,unknown,false
30,admin.,single,secondary,648,false,false,cellular,19,oct,54,1,-1,0,unknown,false
33,admin.,single,tertiary,280,false,false,cellular,12,nov,189,2,-1,0,unknown,false
34,student,single,tertiary,1322,false,false,cellular,26,aug,170,3,-1,0,unknown,false
28,student,single,tertiary,1096,false,false,cellular,28,jan,81,2,-1,0,unknown,false
22,student,single,secondary,148,false,false,cellular,2,feb,928,1,-1,0,unknown,false
27,student,single,secondary,1177,false,false,cellular,3,mar,133,1,-1,0,unknown,false
20,student,single,unknown,8860,false,false,cellular,7,apr,98,2,-1,0,unknown,false
19,student,single,primary,1247,false,false,cellular,23,apr,94,1,-1,0,unknown,false
26,student,single,secondary,480,false,false,cellular,30,apr,104,1,-1,0,unknown,false
28,student,single,secondary,891,false,false,telephone,4,may,34,6,-1,0,unknown,false
25,student,single,unknown,92,false,false,cellular,27,may,297,1,-1,0,unknown,false
24,student,single,secondary,501,false,false,cellular,28,may,121,6,-1,0,unknown,false
25,student,single,secondary,3165,false,false,telephone,20,oct,251,2,-1,0,unknown,false
21,student,single,secondary,347,false,false,cellular,16,nov,77,1,-1,0,unknown,false
30,student,single,secondary,4,false,false,cellular,4,feb,443,2,-1,0,unknown,false
45,student,single,unknown,1527,false,false,cellular,8,mar,132,1,-1,0,unknown,true
29,services,single,secondary,2,false,false,unknown,8,may,190,1,-1,0,unknown,false
37,services,single,tertiary,718,false,false,unknown,17,jun,43,1,-1,0,unknown,false
37,services,single,secondary,-244,false,false,unknown,3,jul,178,1,-1,0,unknown,false
42,services,single,unknown,974,false,false,cellular,30,jul,73,2,-1,0,unknown,false
32,services,single,secondary,0,false,false,cellular,29,jan,96,1,-1,0,unknown,false
26,services,single,secondary,110,false,false,cellular,30,jan,1136,2,-1,0,unknown,true
27,services,single,secondary,0,false,false,cellular,6,feb,145,1,-1,0,unknown,false
37,services,single,secondary,887,false,false,cellular,14,may,553,2,-1,0,unknown,false
23,services,single,secondary,870,false,false,cellular,6,jul,316,4,-1,0,unknown,true
29,services,single,secondary,814,false,false,unknown,6,jan,54,1,-1,0,unknown,false
28,housemaid,single,primary,332,false,false,cellular,7,jul,385,1,-1,0,unknown,false
28,housemaid,single,primary,0,false,true,cellular,29,jul,120,4,-1,0,unknown,false
34,management,single,tertiary,2015,false,false,unknown,21,may,388,1,-1,0,unknown,false
26,management,single,tertiary,33,false,false,cellular,23,jul,297,1,-1,0,unknown,false
45,management,single,tertiary,16,false,false,cellular,31,jul,59,2,-1,0,unknown,false
31,management,single,tertiary,130,false,false,cellular,6,aug,160,1,-1,0,unknown,false
34,management,single,tertiary,757,false,false,cellular,18,aug,37,4,-1,0,unknown,false
49,management,single,tertiary,11,false,false,cellular,22,aug,251,2,-1,0,unknown,false
34,management,single,tertiary,1612,false,false,cellular,27,aug,108,22,-1,0,unknown,false
49,management,single,tertiary,588,false,false,cellular,28,aug,70,9,-1,0,unknown,false
41,management,single,tertiary,4522,false,false,cellular,28,aug,55,1,-1,0,unknown,false
32,management,single,tertiary,0,false,false,cellular,19,nov,57,1,-1,0,unknown,false
31,management,single,tertiary,3283,false,false,cellular,21,nov,377,1,-1,0,unknown,false
27,management,single,tertiary,317,false,false,cellular,9,feb,59,3,-1,0,unknown,false
31,management,single,tertiary,354,false,false,cellular,21,apr,242,2,-1,0,unknown,true
30,management,single,tertiary,398,false,false,cellular,24,apr,235,2,-1,0,unknown,true
25,management,single,tertiary,219,false,false,cellular,30,apr,458,1,-1,0,unknown,true
27,management,single,tertiary,88,false,false,cellular,4,may,143,1,-1,0,unknown,false
32,management,single,tertiary,2613,false,false,cellular,4,may,520,2,-1,0,unknown,false
28,management,single,tertiary,957,false,false,cellular,25,may,915,2,-1,0,unknown,true
25,management,single,tertiary,1628,false,false,cellular,2,jun,91,1,-1,0,unknown,false
24,management,single,tertiary,172,false,false,cellular,3,jul,67,2,-1,0,unknown,false
30,management,single,tertiary,0,false,false,cellular,29,oct,437,2,-1,0,unknown,false
28,management,single,tertiary,1351,false,false,cellular,10,dec,267,1,-1,0,unknown,false
26,management,single,tertiary,0,false,false,cellular,23,feb,176,1,-1,0,unknown,false
43,technician,single,secondary,11269,false,false,unknown,29,may,92,1,-1,0,unknown,false
41,technician,single,secondary,0,false,false,unknown,9,jun,229,2,-1,0,unknown,false
29,technician,single,tertiary,101,false,false,unknown,2,jul,143,4,-1,0,unknown,false
35,technician,single,secondary,-51,false,false,unknown,2,jul,134,2,-1,0,unknown,false
30,technician,single,secondary,77,false,true,cellular,8,jul,82,4,-1,0,unknown,false
29,technician,single,secondary,3527,false,true,cellular,10,jul,171,5,-1,0,unknown,false
32,technician,single,secondary,648,false,true,cellular,21,jul,166,1,-1,0,unknown,false
33,technician,single,tertiary,0,false,false,cellular,5,aug,122,1,-1,0,unknown,false
33,technician,single,tertiary,764,false,false,cellular,6,aug,244,2,-1,0,unknown,false
33,technician,single,secondary,3059,false,true,cellular,6,aug,482,2,-1,0,unknown,true
40,technician,single,secondary,8259,false,false,cellular,8,aug,254,4,-1,0,unknown,false
38,technician,single,tertiary,523,false,false,cellular,8,aug,388,1,-1,0,unknown,false
35,technician,single,tertiary,0,false,false,cellular,11,aug,176,3,-1,0,unknown,false
30,technician,single,tertiary,635,false,false,cellular,13,aug,851,8,-1,0,unknown,true
44,technician,single,secondary,0,false,false,cellular,20,aug,156,2,-1,0,unknown,false
53,technician,single,tertiary,1,false,false,cellular,21,aug,190,1,-1,0,unknown,false
33,technician,single,secondary,0,false,false,cellular,22,aug,208,1,-1,0,unknown,false
35,technician,single,tertiary,2650,false,false,cellular,25,aug,133,8,-1,0,unknown,false
36,technician,single,secondary,0,false,false,cellular,28,aug,8,13,-1,0,unknown,false
32,technician,single,secondary,5205,false,false,cellular,20,nov,352,1,-1,0,unknown,false
36,technician,single,secondary,98,false,false,cellular,30,jan,771,1,-1,0,unknown,true
29,technician,single,secondary,853,false,true,telephone,4,feb,239,7,-1,0,unknown,false
28,technician,single,secondary,227,false,false,cellular,30,apr,278,1,-1,0,unknown,true
36,technician,single,tertiary,197,false,false,cellular,30,apr,260,1,-1,0,unknown,true
25,technician,single,secondary,266,false,true,cellular,15,jun,74,1,-1,0,unknown,false
27,technician,single,tertiary,1075,false,false,cellular,2,mar,658,1,-1,0,unknown,true
34,technician,single,tertiary,2733,false,false,cellular,14,jul,604,1,-1,0,unknown,true
44,unemployed,single,primary,4232,false,false,unknown,16,jun,227,1,-1,0,unknown,false
